ip,endpoint,requests_per_minute,failed_logins,payload_size,unusual_time,attack
192.168.1.80,/payment,8,6,518,1,0
192.168.1.156,/cart,79,5,2025,1,1
192.168.1.106,/products,81,12,1156,0,1
192.168.1.39,/login,43,8,4297,1,0
192.168.1.187,/products,38,19,3339,1,1
192.168.1.79,/login,104,20,3587,1,1
192.168.1.86,/cart,37,1,3243,0,0
192.168.1.73,/payment,75,12,2347,0,0
192.168.1.82,/payment,90,15,3548,1,1
192.168.1.83,/login,8,16,4596,1,1
192.168.1.252,/profile,80,3,3294,1,0
192.168.1.125,/products,78,16,2993,0,1
192.168.1.198,/products,47,4,4083,1,0
192.168.1.186,/products,19,2,981,0,0
192.168.1.137,/profile,96,18,2745,0,1
192.168.1.129,/login,26,14,3552,1,1
192.168.1.84,/cart,110,5,1549,0,1
192.168.1.213,/cart,3,9,4854,0,1
192.168.1.173,/payment,26,0,3579,1,0
192.168.1.134,/cart,15,18,3558,0,1
192.168.1.107,/profile,10,8,4026,1,0
192.168.1.38,/payment,90,13,3042,1,1
192.168.1.27,/login,119,7,3000,0,1
192.168.1.141,/payment,112,20,782,1,1
192.168.1.31,/cart,42,2,2610,0,0
192.168.1.153,/login,33,16,2874,0,1
192.168.1.159,/login,71,14,1915,1,0
192.168.1.226,/profile,39,12,3279,1,1
192.168.1.114,/login,40,18,421,0,1
192.168.1.209,/login,11,5,1146,0,0
192.168.1.42,/cart,28,3,2360,0,0
192.168.1.101,/products,20,17,2163,1,1
192.168.1.137,/payment,93,8,2504,1,1
192.168.1.182,/products,70,13,1707,1,1
192.168.1.71,/payment,82,3,3930,0,0
192.168.1.129,/payment,112,0,2407,0,1
192.168.1.124,/products,79,5,2862,1,0
192.168.1.178,/products,73,2,4512,1,0
192.168.1.78,/products,115,15,2894,1,1
192.168.1.89,/login,97,14,4687,1,1
192.168.1.109,/products,119,6,2865,1,1
192.168.1.79,/products,77,2,676,1,0
192.168.1.8,/cart,109,18,1424,1,1
192.168.1.172,/products,20,7,586,1,0
192.168.1.117,/login,7,17,1241,0,1
192.168.1.185,/login,12,14,1355,1,1
192.168.1.187,/profile,28,20,3461,1,1
192.168.1.65,/profile,13,12,3217,0,0
192.168.1.102,/login,97,3,4267,1,0
192.168.1.216,/cart,48,19,654,1,1
192.168.1.58,/products,24,18,783,0,1
192.168.1.201,/products,9,16,2668,1,1
192.168.1.199,/products,61,14,1281,1,1
192.168.1.198,/login,77,6,484,1,0
192.168.1.223,/products,42,3,4149,1,0
192.168.1.69,/products,29,4,1164,1,0
192.168.1.219,/payment,36,6,1610,0,0
192.168.1.191,/payment,31,10,631,1,0
192.168.1.109,/payment,3,15,2857,1,1
192.168.1.1,/products,42,13,375,0,0
192.168.1.104,/login,113,13,4074,1,1
192.168.1.67,/cart,66,1,1434,0,0
192.168.1.105,/products,50,14,2736,1,1
192.168.1.248,/login,46,11,3356,1,1
192.168.1.146,/cart,1,0,1502,1,0
192.168.1.70,/products,91,11,1617,1,1
192.168.1.36,/login,74,6,2880,0,0
192.168.1.120,/profile,71,2,1156,1,0
192.168.1.40,/cart,83,5,4835,1,1
192.168.1.33,/payment,98,17,2999,1,1
192.168.1.5,/cart,19,12,2899,0,1
192.168.1.243,/login,40,9,906,1,0
192.168.1.231,/products,20,14,4136,0,1
192.168.1.74,/payment,68,8,3706,1,0
192.168.1.117,/payment,91,18,1220,1,1
192.168.1.229,/profile,5,14,2750,1,1
192.168.1.63,/payment,90,15,2711,0,1
192.168.1.201,/cart,44,10,1350,0,0
192.168.1.150,/login,91,9,4736,0,1
192.168.1.9,/login,27,4,1421,1,0
192.168.1.125,/payment,100,5,4647,1,1
192.168.1.59,/login,98,9,1364,0,1
192.168.1.206,/products,52,18,4454,1,1
192.168.1.242,/cart,85,3,2031,1,1
192.168.1.218,/profile,91,14,3975,0,0
192.168.1.214,/payment,25,7,4801,1,0
192.168.1.153,/payment,66,16,3772,1,1
192.168.1.29,/login,58,18,4401,1,1
192.168.1.215,/profile,94,13,637,1,1
192.168.1.190,/cart,110,5,3428,0,1
192.168.1.60,/payment,53,15,3547,0,0
192.168.1.44,/login,8,5,1754,1,0
192.168.1.207,/cart,29,13,4307,0,0
192.168.1.208,/login,104,3,3302,1,1
192.168.1.31,/profile,24,6,255,1,0
192.168.1.117,/profile,116,8,897,1,1
192.168.1.106,/payment,15,17,4671,0,1
192.168.1.113,/profile,65,10,1676,1,0
192.168.1.255,/profile,91,16,2404,0,1
192.168.1.5,/products,37,0,4936,1,0
192.168.1.172,/profile,17,0,3655,1,0
192.168.1.223,/payment,1,6,3549,0,0
192.168.1.113,/products,88,17,785,1,1
192.168.1.95,/products,112,17,2231,0,1
192.168.1.240,/profile,87,4,2506,0,0
192.168.1.254,/products,31,18,3492,0,1
192.168.1.109,/login,86,1,3077,1,1
192.168.1.37,/profile,60,18,3834,1,1
192.168.1.202,/products,109,19,4726,1,1
192.168.1.156,/profile,35,6,4529,1,0
192.168.1.152,/products,23,3,1464,1,0
192.168.1.106,/cart,106,1,1174,1,1
192.168.1.25,/login,110,11,4507,1,1
192.168.1.217,/profile,83,7,1326,1,0
192.168.1.250,/products,5,19,1130,0,1
192.168.1.206,/products,38,1,1228,1,0
192.168.1.231,/products,9,3,2385,1,0
192.168.1.59,/products,45,15,336,0,1
192.168.1.243,/login,98,13,737,1,1
192.168.1.7,/cart,51,15,3707,1,1
192.168.1.68,/products,29,18,415,1,1
192.168.1.134,/login,48,18,875,1,1
192.168.1.22,/cart,1,11,478,1,0
192.168.1.35,/payment,4,14,1688,1,1
192.168.1.213,/products,111,15,3938,0,1
192.168.1.141,/profile,6,16,4427,1,1
192.168.1.207,/products,18,12,2927,1,1
192.168.1.88,/profile,53,3,3022,1,0
192.168.1.220,/products,65,9,1602,1,1
192.168.1.142,/profile,81,14,1351,1,1
192.168.1.82,/profile,87,17,746,1,1
192.168.1.31,/login,107,4,2707,1,1
192.168.1.108,/profile,80,12,4954,0,1
192.168.1.53,/payment,53,18,3380,1,1
192.168.1.210,/products,100,18,4359,0,1
192.168.1.31,/payment,112,11,611,1,1
192.168.1.154,/cart,84,14,726,1,0
192.168.1.234,/products,25,9,4870,0,0
192.168.1.1,/cart,4,15,1757,0,1
192.168.1.75,/products,25,13,733,1,0
192.168.1.56,/login,66,2,1050,0,0
192.168.1.144,/payment,72,1,4180,1,0
192.168.1.118,/payment,48,1,2715,0,0
192.168.1.229,/cart,87,5,3540,1,1
192.168.1.147,/login,45,18,858,1,1
192.168.1.180,/profile,53,1,779,0,0
192.168.1.148,/payment,21,5,3845,1,0
192.168.1.227,/payment,66,11,3893,0,1
192.168.1.201,/products,17,4,2942,0,0
192.168.1.180,/profile,35,4,3049,1,0
192.168.1.34,/products,17,3,1735,1,0
192.168.1.43,/cart,116,12,3457,0,1
192.168.1.217,/login,97,20,1091,0,1
192.168.1.177,/login,89,6,3046,0,1
192.168.1.34,/profile,18,7,910,1,0
192.168.1.78,/profile,2,11,4924,0,0
192.168.1.152,/products,28,7,1202,1,0
192.168.1.184,/profile,64,20,2851,1,1
192.168.1.106,/login,18,4,2399,0,0
192.168.1.18,/profile,43,20,4365,0,1
192.168.1.50,/cart,88,15,2431,1,1
192.168.1.235,/profile,11,7,1718,0,0
192.168.1.236,/cart,98,1,1820,1,0
192.168.1.84,/profile,99,20,2053,0,1
192.168.1.6,/cart,95,10,715,1,0
192.168.1.167,/products,92,9,2690,1,1
192.168.1.115,/products,107,13,3426,0,1
192.168.1.119,/profile,59,0,1699,1,0
192.168.1.150,/cart,120,8,2133,0,1
192.168.1.106,/profile,61,12,278,0,1
192.168.1.93,/products,48,1,3867,0,0
192.168.1.250,/login,90,11,3614,0,1
192.168.1.19,/payment,88,19,3518,1,1
192.168.1.111,/login,26,19,3241,0,1
192.168.1.173,/login,106,17,1686,1,1
192.168.1.145,/login,28,11,3162,1,0
192.168.1.66,/products,69,5,1421,1,0
192.168.1.207,/cart,89,6,2870,0,1
192.168.1.232,/products,21,10,4441,1,0
192.168.1.93,/payment,67,16,3607,0,1
192.168.1.135,/products,118,7,293,0,1
192.168.1.74,/products,105,6,3753,0,1
192.168.1.47,/profile,117,3,3538,0,1
192.168.1.212,/login,39,3,1774,0,0
192.168.1.118,/payment,48,17,3036,0,1
192.168.1.58,/cart,56,7,3241,0,0
192.168.1.68,/products,82,20,314,1,1
192.168.1.83,/payment,106,2,2490,0,1
192.168.1.126,/login,2,3,2881,1,0
192.168.1.157,/login,120,5,4770,1,1
192.168.1.240,/products,104,18,404,1,1
192.168.1.132,/products,96,8,3220,1,1
192.168.1.160,/cart,96,6,3478,0,1
192.168.1.13,/profile,116,0,1035,0,1
192.168.1.104,/profile,53,3,4816,0,0
192.168.1.67,/payment,69,20,694,1,1
192.168.1.40,/profile,111,11,1702,1,1
192.168.1.144,/profile,61,3,1877,1,0
192.168.1.2,/products,111,13,3650,1,1
192.168.1.142,/payment,11,19,2962,0,1
192.168.1.21,/payment,51,16,2421,0,1
192.168.1.247,/cart,5,8,3145,1,0
192.168.1.152,/login,118,20,4988,0,1
192.168.1.211,/cart,43,17,2489,0,1
192.168.1.117,/profile,97,11,1235,0,1
192.168.1.49,/profile,7,7,1956,1,0
192.168.1.154,/payment,29,14,4021,0,0
192.168.1.74,/payment,29,8,701,0,0
192.168.1.118,/login,116,3,1970,1,1
192.168.1.44,/profile,107,0,3654,1,1
192.168.1.200,/products,16,17,2212,0,1
192.168.1.94,/cart,56,7,653,1,0
192.168.1.69,/profile,71,19,2977,1,1
192.168.1.17,/payment,79,19,922,0,1
192.168.1.104,/payment,76,19,2320,0,1
192.168.1.4,/products,81,20,3396,1,1
192.168.1.161,/login,101,12,3586,0,1
192.168.1.205,/login,14,7,3108,0,0
192.168.1.158,/payment,94,9,602,1,1
192.168.1.213,/login,109,17,4606,0,1
192.168.1.93,/login,54,6,3642,1,0
192.168.1.167,/login,45,10,2119,1,0
192.168.1.253,/payment,56,3,2229,0,0
192.168.1.17,/cart,33,14,4000,1,1
192.168.1.153,/payment,72,0,2662,1,0
192.168.1.34,/cart,69,8,2729,0,0
192.168.1.18,/profile,53,4,2831,1,0
192.168.1.116,/payment,111,12,1619,1,1
192.168.1.156,/payment,109,14,4843,0,1
192.168.1.182,/login,48,15,4453,0,1
192.168.1.163,/login,110,19,3191,0,1
192.168.1.117,/login,104,4,3231,0,1
192.168.1.153,/login,51,13,4313,0,0
192.168.1.73,/profile,83,14,4444,0,1
192.168.1.181,/products,51,6,2028,0,0
192.168.1.125,/profile,53,10,4950,0,0
192.168.1.127,/products,116,6,318,0,1
192.168.1.91,/cart,93,5,2232,0,1
192.168.1.240,/products,47,15,4027,0,1
192.168.1.126,/profile,47,16,4477,0,1
192.168.1.51,/login,51,19,4106,1,1
192.168.1.30,/login,45,5,2769,0,0
192.168.1.11,/login,65,1,3133,0,0
192.168.1.90,/cart,107,10,3483,1,1
192.168.1.46,/cart,16,10,1780,1,0
192.168.1.97,/login,46,15,4520,1,1
192.168.1.212,/payment,87,2,3165,1,0
192.168.1.19,/login,58,9,1773,0,0
192.168.1.73,/login,31,9,3940,1,0
192.168.1.145,/login,3,11,3139,0,1
192.168.1.1,/login,114,20,1077,1,1
192.168.1.232,/payment,117,15,280,1,1
192.168.1.64,/payment,64,12,1585,0,1
192.168.1.84,/cart,85,1,2821,1,0
192.168.1.253,/products,12,12,3769,1,1
192.168.1.24,/cart,75,0,2945,1,0
192.168.1.8,/cart,70,12,1268,0,0
192.168.1.27,/login,70,5,3568,1,0
192.168.1.89,/products,33,13,2872,0,1
192.168.1.112,/payment,104,1,4788,0,1
192.168.1.62,/cart,98,18,2467,1,1
192.168.1.250,/profile,20,20,2125,0,1
192.168.1.191,/payment,96,7,2998,1,0
192.168.1.52,/products,98,20,1080,1,1
192.168.1.49,/payment,38,11,2711,0,1
192.168.1.227,/profile,81,2,1617,1,0
192.168.1.75,/login,104,15,2352,1,0
192.168.1.226,/profile,55,7,3200,1,0
192.168.1.4,/payment,14,9,2799,0,0
192.168.1.46,/products,63,5,2222,0,0
192.168.1.247,/login,55,11,3258,1,1
192.168.1.195,/login,99,7,1670,0,1
192.168.1.37,/profile,73,0,839,0,0
192.168.1.9,/payment,86,12,3098,0,1
192.168.1.126,/login,14,3,4414,1,0
192.168.1.165,/profile,70,4,1438,1,0
192.168.1.5,/products,22,6,2331,0,0
192.168.1.185,/products,5,12,3933,0,1
192.168.1.75,/cart,109,18,1455,1,1
192.168.1.248,/login,9,19,2058,0,1
192.168.1.168,/profile,32,0,4840,1,0
192.168.1.64,/profile,88,9,1372,0,0
192.168.1.209,/profile,26,11,4060,0,0
192.168.1.121,/profile,63,11,4054,1,1
192.168.1.159,/cart,113,10,594,1,1
192.168.1.198,/profile,112,6,4931,1,1
192.168.1.214,/cart,16,4,1909,0,0
192.168.1.4,/cart,67,19,257,0,1
192.168.1.82,/login,120,8,1032,0,1
192.168.1.200,/cart,108,20,959,0,1
192.168.1.72,/profile,29,2,4671,1,0
192.168.1.250,/payment,10,14,2558,0,0
192.168.1.85,/payment,117,7,3295,0,1
192.168.1.89,/login,90,10,4993,0,1
192.168.1.149,/products,108,11,1669,1,1
192.168.1.87,/cart,79,18,2389,1,1
192.168.1.110,/profile,89,9,2932,1,0
192.168.1.144,/products,91,17,1337,0,1
192.168.1.223,/login,12,3,2037,0,0
192.168.1.222,/cart,46,17,4405,1,1
192.168.1.193,/payment,84,18,801,1,1
192.168.1.107,/profile,87,3,4872,0,0
192.168.1.129,/profile,112,9,1852,0,1
192.168.1.77,/login,18,15,2448,0,1
192.168.1.54,/cart,49,4,2096,0,0
192.168.1.233,/login,33,13,2118,0,1
192.168.1.204,/products,110,20,3057,1,1
192.168.1.94,/cart,40,12,4495,1,1
192.168.1.155,/cart,20,0,2605,1,0
192.168.1.149,/products,110,14,542,0,1
192.168.1.183,/cart,28,8,3000,1,0
192.168.1.106,/payment,117,16,734,1,1
192.168.1.195,/profile,50,9,1956,0,0
192.168.1.40,/profile,101,3,1203,0,0
192.168.1.171,/products,31,3,2851,1,0
192.168.1.60,/cart,101,7,3637,0,1
192.168.1.215,/payment,50,1,3024,1,0
192.168.1.227,/products,28,11,3743,1,0
192.168.1.235,/profile,105,1,1599,0,1
192.168.1.179,/payment,91,8,2121,0,1
192.168.1.63,/products,3,4,499,0,0
192.168.1.86,/payment,119,16,4893,0,1
192.168.1.223,/payment,18,6,1607,0,0
192.168.1.185,/cart,101,0,4452,0,1
192.168.1.127,/cart,97,6,1961,1,0
192.168.1.253,/payment,90,9,1536,1,0
192.168.1.212,/products,84,11,3792,0,1
192.168.1.252,/login,99,14,1503,0,1
192.168.1.140,/profile,10,13,3391,0,1
192.168.1.110,/products,39,11,2327,1,0
192.168.1.197,/login,76,8,1282,1,0
192.168.1.88,/profile,105,20,1696,0,1
192.168.1.229,/login,71,13,1187,0,1
192.168.1.232,/login,39,5,2529,1,0
192.168.1.137,/cart,26,15,532,0,1
192.168.1.42,/payment,92,19,2888,0,1
192.168.1.62,/payment,35,1,973,0,0
192.168.1.55,/profile,2,10,3953,1,0
192.168.1.55,/payment,97,2,2688,1,1
192.168.1.103,/products,87,8,1100,0,1
192.168.1.66,/profile,24,0,4161,1,0
192.168.1.203,/products,5,6,3425,0,0
192.168.1.58,/cart,68,12,1740,0,1
192.168.1.19,/products,109,3,544,1,1
192.168.1.1,/payment,102,2,4058,1,0
192.168.1.9,/login,66,6,4795,0,0
192.168.1.197,/payment,81,10,4612,1,1
192.168.1.49,/cart,65,8,3339,0,0
192.168.1.105,/payment,31,3,1230,1,0
192.168.1.36,/profile,104,16,2077,0,1
192.168.1.189,/login,86,6,1307,1,0
192.168.1.74,/products,119,3,4811,0,1
192.168.1.191,/products,32,15,1203,1,1
192.168.1.19,/cart,13,11,1839,0,0
192.168.1.201,/payment,50,17,4167,1,1
192.168.1.137,/products,30,3,3760,1,0
192.168.1.222,/payment,2,2,2525,0,0
192.168.1.220,/login,33,19,3442,1,1
192.168.1.199,/login,101,15,257,0,1
192.168.1.128,/products,96,19,1199,1,1
192.168.1.89,/login,60,1,3795,1,0
192.168.1.70,/products,28,6,2935,1,0
192.168.1.186,/cart,118,18,1143,1,1
192.168.1.238,/payment,38,20,4068,1,1
192.168.1.101,/cart,8,5,921,0,0
192.168.1.253,/profile,57,4,589,1,0
192.168.1.238,/profile,67,14,1724,0,1
192.168.1.75,/profile,1,17,2873,0,1
192.168.1.245,/profile,103,13,1889,1,0
192.168.1.152,/profile,41,10,4859,0,0
192.168.1.6,/profile,97,13,4979,0,1
192.168.1.207,/login,108,0,2232,1,1
192.168.1.186,/payment,106,20,2111,1,1
192.168.1.202,/payment,20,11,253,1,0
192.168.1.44,/login,88,17,2728,1,1
192.168.1.122,/products,120,18,1838,1,1
192.168.1.189,/cart,2,10,2505,0,1
192.168.1.135,/login,115,3,2573,0,1
192.168.1.183,/login,33,0,2372,0,0
192.168.1.252,/products,75,1,804,0,1
192.168.1.132,/payment,87,17,3703,0,1
192.168.1.27,/login,4,3,1206,0,0
192.168.1.66,/login,21,20,4037,1,1
192.168.1.176,/profile,106,5,4304,1,1
192.168.1.172,/payment,112,2,641,1,1
192.168.1.223,/profile,37,10,1924,0,0
192.168.1.121,/profile,6,8,454,0,0
192.168.1.214,/payment,47,5,1501,1,0
192.168.1.13,/profile,77,15,2077,1,1
192.168.1.49,/profile,92,3,539,0,0
192.168.1.90,/cart,61,18,4809,1,1
192.168.1.131,/login,62,5,3813,0,0
192.168.1.149,/profile,38,15,5000,0,1
192.168.1.127,/profile,30,4,968,0,0
192.168.1.200,/products,32,3,4858,1,0
192.168.1.195,/payment,107,3,2402,0,1
192.168.1.210,/profile,84,18,2429,0,1
192.168.1.137,/cart,104,10,3480,1,1
192.168.1.76,/products,3,14,2908,0,1
192.168.1.52,/cart,115,13,723,0,1
192.168.1.190,/login,14,20,2574,0,1
192.168.1.206,/products,27,16,3870,0,1
192.168.1.83,/login,25,2,4941,0,0
192.168.1.156,/cart,71,2,4864,1,0
192.168.1.165,/profile,70,19,831,0,1
192.168.1.49,/cart,93,3,2449,0,0
192.168.1.161,/products,44,4,3738,1,0
192.168.1.247,/payment,52,13,2859,1,0
192.168.1.229,/products,34,0,3218,0,0
192.168.1.199,/cart,84,18,375,0,1
192.168.1.18,/cart,105,8,2989,0,1
192.168.1.32,/cart,52,20,810,0,1
192.168.1.100,/login,41,20,417,0,1
192.168.1.223,/login,22,4,4356,0,0
192.168.1.24,/cart,27,13,1011,1,1
192.168.1.168,/payment,85,20,2828,1,1
192.168.1.106,/profile,80,14,3387,1,1
192.168.1.105,/profile,52,20,664,1,1
192.168.1.53,/profile,104,3,1886,1,1
192.168.1.226,/profile,67,16,4535,1,1
192.168.1.209,/cart,114,9,1996,0,1
192.168.1.28,/cart,61,5,3247,1,0
192.168.1.69,/products,10,11,2118,1,0
192.168.1.190,/payment,36,8,2808,1,0
192.168.1.235,/cart,66,4,1706,1,0
192.168.1.78,/login,107,11,4896,1,1
192.168.1.140,/cart,15,0,4553,1,0
192.168.1.189,/profile,15,4,2041,1,0
192.168.1.32,/products,48,16,4893,0,1
192.168.1.186,/profile,77,7,4134,0,0
192.168.1.165,/profile,60,11,2211,1,0
192.168.1.216,/products,97,14,2462,1,1
192.168.1.241,/profile,47,17,3019,1,1
192.168.1.199,/payment,40,6,1792,1,0
192.168.1.59,/login,81,20,2518,0,1
192.168.1.247,/products,32,14,3422,1,1
192.168.1.95,/products,13,19,536,0,1
192.168.1.125,/products,46,9,2467,1,0
192.168.1.163,/login,16,11,1278,1,0
192.168.1.238,/profile,74,17,3827,1,1
192.168.1.244,/profile,49,20,1381,1,1
192.168.1.48,/payment,46,14,4592,0,1
192.168.1.86,/profile,18,16,1258,1,1
192.168.1.208,/payment,51,19,1838,1,1
192.168.1.2,/login,97,14,3108,0,1
192.168.1.150,/profile,118,15,1273,1,1
192.168.1.71,/cart,120,13,2633,1,1
192.168.1.131,/login,72,1,3522,0,0
192.168.1.90,/payment,119,15,888,1,1
192.168.1.110,/profile,77,17,1606,1,1
192.168.1.180,/login,14,12,618,0,0
192.168.1.67,/profile,93,20,4966,0,1
192.168.1.166,/products,8,18,4322,1,1
192.168.1.50,/profile,7,13,227,0,0
192.168.1.158,/products,67,14,4307,1,1
192.168.1.57,/payment,29,18,4361,1,1
192.168.1.103,/products,55,13,4748,1,0
192.168.1.175,/cart,114,9,2377,1,1
192.168.1.66,/products,47,9,363,0,0
192.168.1.228,/products,103,19,3730,1,1
192.168.1.160,/login,116,1,4788,0,1
192.168.1.53,/profile,80,5,1157,0,0
192.168.1.206,/profile,59,15,4480,0,1
192.168.1.113,/login,4,19,4517,0,1
192.168.1.66,/payment,67,13,594,0,1
192.168.1.7,/payment,76,17,665,0,1
192.168.1.12,/login,73,14,1837,0,0
192.168.1.29,/login,31,6,1470,0,0
192.168.1.129,/payment,115,0,807,1,1
192.168.1.82,/cart,86,0,3429,0,1
192.168.1.192,/products,102,10,3684,1,1
192.168.1.57,/cart,100,16,2867,1,1
192.168.1.105,/login,36,13,3315,1,0
192.168.1.209,/profile,85,1,3727,0,1
192.168.1.13,/cart,12,15,3855,0,1
192.168.1.232,/products,65,10,733,0,0
192.168.1.238,/cart,108,15,433,0,1
192.168.1.161,/login,63,5,2509,1,0
192.168.1.174,/payment,93,18,2255,1,1
192.168.1.17,/products,86,10,2663,0,1
192.168.1.98,/cart,107,6,2048,0,1
192.168.1.161,/payment,69,13,4155,1,1
192.168.1.211,/profile,19,20,2898,1,1
192.168.1.157,/login,92,7,4794,0,0
192.168.1.23,/cart,85,20,4421,0,1
192.168.1.199,/profile,116,15,733,1,1
192.168.1.25,/payment,18,11,965,0,0
192.168.1.177,/cart,94,5,2550,0,1
192.168.1.208,/login,116,12,3470,1,1
192.168.1.81,/cart,85,18,4236,0,1
192.168.1.156,/products,115,0,4532,1,1
192.168.1.168,/products,111,14,4394,0,1
192.168.1.238,/payment,87,8,3261,1,0
192.168.1.116,/login,22,2,1760,0,0
192.168.1.1,/login,40,3,4629,1,0
192.168.1.50,/products,42,18,1789,1,1
192.168.1.165,/login,42,7,3798,1,0
192.168.1.189,/login,34,11,841,1,1
192.168.1.197,/login,32,18,4720,0,1
192.168.1.219,/products,11,3,700,0,0
192.168.1.97,/cart,10,6,1374,0,0
192.168.1.117,/payment,51,13,3560,0,0
192.168.1.141,/products,116,5,4617,0,1
192.168.1.88,/payment,20,13,2486,0,1
192.168.1.168,/profile,13,18,807,1,1
192.168.1.220,/cart,41,8,2298,0,0
192.168.1.110,/products,113,4,2065,1,1
192.168.1.243,/cart,113,4,3857,0,1
192.168.1.46,/login,94,11,3824,1,1
192.168.1.203,/payment,31,14,4732,1,1
192.168.1.82,/products,66,13,4719,1,1
192.168.1.139,/products,55,18,2621,1,1
192.168.1.198,/profile,115,1,3593,0,1
192.168.1.243,/login,52,8,3871,0,0
192.168.1.205,/payment,41,4,2787,1,0
192.168.1.245,/login,2,1,2220,1,0
192.168.1.222,/payment,94,6,752,0,1
192.168.1.226,/profile,27,14,3671,1,1
192.168.1.4,/payment,14,8,2460,1,0
192.168.1.176,/cart,47,5,2919,1,0
192.168.1.3,/payment,82,12,416,0,1
192.168.1.186,/cart,93,11,2448,0,1
192.168.1.219,/cart,13,19,4618,0,1
192.168.1.2,/login,24,1,1471,1,0
192.168.1.236,/products,73,15,992,0,1
192.168.1.100,/payment,64,17,914,0,1
192.168.1.2,/payment,16,8,330,1,0
192.168.1.192,/products,1,2,4473,0,0
192.168.1.188,/products,17,0,706,0,0
192.168.1.84,/profile,2,15,3712,0,1
192.168.1.181,/login,81,5,4443,1,1
192.168.1.150,/login,106,7,3764,0,0
192.168.1.209,/profile,73,3,3731,1,0
192.168.1.82,/profile,67,7,4971,0,0
192.168.1.114,/profile,74,19,3908,1,1
192.168.1.5,/products,66,0,1357,0,0
192.168.1.167,/login,76,7,4154,0,1
192.168.1.19,/login,53,0,1730,1,0
192.168.1.192,/payment,80,6,2924,1,0
192.168.1.129,/payment,9,12,1342,1,1
192.168.1.6,/cart,71,12,1372,1,1
192.168.1.84,/products,22,16,2270,1,1
192.168.1.184,/profile,80,7,2332,0,0
192.168.1.233,/cart,103,12,4667,0,0
192.168.1.245,/profile,56,6,774,0,0
192.168.1.63,/profile,115,1,2769,0,1
192.168.1.152,/cart,119,4,3644,0,1
192.168.1.194,/payment,36,13,4979,1,1
192.168.1.54,/cart,104,7,4693,1,1
192.168.1.227,/products,110,19,1125,1,1
192.168.1.57,/profile,48,11,1001,0,0
192.168.1.229,/products,2,14,251,1,1
192.168.1.105,/profile,63,0,748,0,0
192.168.1.161,/products,60,14,1045,1,1
192.168.1.177,/login,7,14,2359,1,1
192.168.1.62,/payment,50,7,2023,0,0
192.168.1.249,/products,27,1,1511,0,0
192.168.1.190,/profile,27,1,212,1,0
192.168.1.83,/products,87,12,3289,0,0
192.168.1.175,/login,22,1,2453,1,0
192.168.1.133,/login,88,2,1212,0,0
192.168.1.189,/payment,13,17,2344,1,1
192.168.1.28,/login,23,17,1077,0,1
192.168.1.131,/profile,54,6,3664,0,0
192.168.1.185,/login,62,14,840,1,0
192.168.1.99,/products,9,11,3898,1,0
192.168.1.158,/login,82,9,336,0,1
192.168.1.52,/payment,13,3,4214,1,0
192.168.1.7,/payment,43,19,4500,0,1
192.168.1.93,/cart,35,4,4880,0,0
192.168.1.225,/products,109,10,401,0,1
192.168.1.19,/cart,96,12,1382,1,1
192.168.1.125,/profile,99,15,3663,1,1
192.168.1.166,/profile,46,4,1358,1,0
192.168.1.128,/profile,47,0,1320,1,0
192.168.1.52,/payment,34,1,3240,0,0
192.168.1.207,/cart,91,18,244,1,1
192.168.1.180,/profile,98,7,327,0,0
192.168.1.93,/profile,44,3,448,0,0
192.168.1.5,/cart,35,18,653,0,1
192.168.1.10,/payment,81,12,304,0,0
192.168.1.18,/profile,116,19,450,0,1
192.168.1.11,/login,83,11,1173,1,1
192.168.1.136,/payment,49,20,3722,1,1
192.168.1.38,/payment,21,7,3584,1,0
192.168.1.93,/cart,17,15,2800,1,1
192.168.1.170,/login,72,18,848,1,1
192.168.1.246,/payment,22,4,4319,1,0
192.168.1.28,/cart,30,16,853,1,1
192.168.1.56,/payment,88,0,3602,0,0
192.168.1.161,/login,61,11,2432,1,0
192.168.1.104,/profile,71,18,2181,0,1
192.168.1.159,/products,112,13,1742,0,1
192.168.1.19,/profile,65,6,1736,1,0
192.168.1.72,/payment,90,13,1811,1,1
192.168.1.105,/cart,70,4,3618,1,0
192.168.1.229,/profile,116,12,3477,1,1
192.168.1.88,/payment,77,20,1378,0,1
192.168.1.64,/profile,100,6,3319,1,1
192.168.1.120,/payment,70,14,4929,1,1
192.168.1.25,/cart,111,15,3713,1,1
192.168.1.89,/login,84,7,2100,0,0
192.168.1.36,/login,50,15,575,1,0
192.168.1.246,/payment,106,19,1881,1,1
192.168.1.58,/login,73,18,320,0,1
192.168.1.19,/payment,101,10,4870,1,1
192.168.1.137,/payment,56,7,1100,0,0
192.168.1.45,/payment,70,7,998,1,0
192.168.1.123,/profile,83,9,865,1,0
192.168.1.129,/profile,32,9,2103,0,1
192.168.1.248,/login,20,17,4565,0,1
192.168.1.80,/login,92,20,1249,0,1
192.168.1.215,/payment,6,19,640,1,1
192.168.1.229,/login,23,10,3920,1,0
192.168.1.152,/cart,71,1,4672,1,0
192.168.1.17,/payment,31,8,884,1,0
192.168.1.232,/payment,52,10,1466,1,0
192.168.1.64,/profile,41,3,474,1,0
192.168.1.186,/profile,120,20,1778,1,1
192.168.1.70,/login,9,19,2232,0,1
192.168.1.166,/cart,84,6,452,1,1
192.168.1.245,/cart,37,8,473,0,0
192.168.1.76,/payment,2,2,3500,1,0
